"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107191","61810","","","4","3","4","4","3","18","27","49"
"15106107230","61810","","","4","3","4","4","4","19","28","50"
"15106107231","61810","","","3","4","3","4","4","18","26","51"
"15106107228","61810","","","4","4","2","4","2","16","24","46"
"15106107233","61810","","","4","4","4","4","4","20","30","48"
"15106107227","61810","","","4","4","4","4","2","18","26","49"
"15106107260","61810","","","4","4","4","2","4","18","26","46"
"15106107262","61810","","","4","3","4","3","4","18","27","46"
"15106107259","61810","","","4","3","4","3","4","18","26","39"
"15106107267","61810","","","3","2","3","3","2","13","21","43"
"15106107234","61810","","","4","4","4","4","4","20","30","49"
"15106107235","61810","","","3","4","2","4","4","17","25","46"
"15106107236","61810","","","3","4","3","4","4","18","27","42"
"15106107263","61810","","","2","4","3","3","4","16","24","51"
"15106107264","61810","","","4","4","3","4","4","19","29","46"
"15106107237","61810","","","4","2","4","4","4","18","26","49"
"15106107238","61810","","","3","4","4","4","4","19","29","49"
"15106107239","61810","","","4","4","2","0","4","14","22","48"
"15106107229","61810","","","4","4","3","4","3","18","27","51"
"15106107240","61810","","","4","3","1","4","4","16","24","50"
"15106107241","61810","","","2","2","4","4","3","15","23","50"
"15106107242","61810","","","4","4","4","2","4","18","26","42"
"15106107244","61810","","","4","2","4","4","2","16","24","47"
"15106107265","61810","","","4","4","0","3","2","13","21","46"
"15106107245","61810","","","3","3","4","4","4","18","26","51"
"15106107246","61810","","","3","4","4","4","4","19","28","48"
"15106107247","61810","","","4","4","4","4","4","20","20","49"
"15106107248","61810","","","4","3","4","3","4","18","26","51"
"15106107249","61810","","","4","4","3","4","4","19","28","51"
"15106107250","61810","","","3","4","3","4","4","18","26","48"
"15106107253","61810","","","3","4","3","4","4","18","27","52"
"15106107254","61810","","","3","4","4","4","4","19","29","48"
"15106107255","61810","","","3","4","4","4","4","19","28","50"
"15106107266","61810","","","4","4","4","4","4","20","30","43"
"15106107256","61810","","","4","3","4","3","4","18","26","48"
"15106107257","61810","","","4","4","0","3","4","15","23","47"
