"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"14106107191","61705","","","4","3","4","1","1","13","21","54"
"15106107230","61705","","","4","1","3","4","2","14","22","49"
"15106107231","61705","","","4","4","4","2","4","18","18","43"
"15106107228","61705","","","4","4","4","4","4","20","20","49"
"15106107233","61705","","","4","4","3","4","4","19","29","48"
"15106107227","61705","","","4","4","4","4","4","20","20","41"
"15106107260","61705","","","4","3","3","2","2","14","22","33"
"15106107262","61705","","","4","4","4","4","4","20","20","39"
"15106107259","61705","","","4","4","4","4","4","20","20","40"
"15106107267","61705","","","4","3","4","3","0","14","22","26"
"15106107234","61705","","","3","4","4","4","4","19","29","54"
"15106107235","61705","","","4","4","4","2","2","16","24","40"
"15106107236","61705","","","4","4","4","2","4","18","27","40"
"15106107263","61705","","","4","4","4","4","4","20","20","32"
"15106107264","61705","","","4","3","4","4","4","19","29","43"
"15106107237","61705","","","3","2","2","4","4","15","23","44"
"15106107238","61705","","","2","4","4","4","4","18","27","42"
"15106107239","61705","","","3","4","3","2","1","13","21","36"
"15106107229","61705","","","4","3","2","4","4","17","25","53"
"15106107240","61705","","","1","2","3","3","4","13","21","43"
"15106107241","61705","","","2","0","4","4","3","13","21","49"
"15106107242","61705","","","2","3","2","4","4","15","23","41"
"15106107244","61705","","","4","4","1","4","4","17","17","38"
"15106107265","61705","","","1","4","3","3","3","14","22","41"
"15106107245","61705","","","4","4","3","3","3","17","25","39"
"15106107246","61705","","","4","3","4","3","4","18","27","40"
"15106107247","61705","","","4","4","1","0","4","13","21","34"
"15106107248","61705","","","4","4","4","4","3","19","28","34"
"15106107249","61705","","","4","3","3","4","4","18","26","38"
"15106107250","61705","","","4","4","2","4","4","18","27","36"
"15106107253","61705","","","4","4","3","3","4","18","26","30"
"15106107254","61705","","","4","3","4","4","3","18","27","37"
"15106107255","61705","","","4","0","2","4","3","13","21","27"
"15106107266","61705","","","4","4","4","4","3","19","28","51"
"15106107256","61705","","","3","4","1","1","4","13","21","31"
"15106107257","61705","","","4","3","4","4","4","19","19","27"
