"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Assumed Internal","Internal Marks","End Sem"
"15106107227","41503","","","4","0","2","4","4","14","14","27"
"15106107228","41503","","","4","3","4","4","3","18","18","25"
"15106107229","41503","","","3","4","3","4","4","18","18","28"
"15106107230","41503","","","4","4","1","2","3","14","14","26"
"15106107231","41503","","","4","2","4","4","2","16","16","25"
"15106107233","41503","","","3","4","4","4","4","19","19","27"
"15106107234","41503","","","3","4","4","4","4","19","19","28"
"15106107235","41503","","","4","4","3","4","4","19","19","27"
"15106107236","41503","","","3","4","4","4","4","19","19","27"
"15106107237","41503","","","4","4","4","4","3","19","19","26"
"15106107238","41503","","","4","4","4","3","4","19","19","28"
"15106107239","41503","","","2","3","4","2","4","15","15","25"
"15106107240","41503","","","4","2","1","4","3","14","14","28"
"15106107241","41503","","","1","4","3","2","4","14","14","28"
"15106107242","41503","","","3","4","4","3","4","18","18","28"
"15106107244","41503","","","1","3","4","4","3","15","15","26"
"15106107245","41503","","","4","2","2","4","4","16","16","26"
"15106107246","41503","","","4","4","3","4","4","19","19","28"
"15106107247","41503","","","4","4","1","4","1","14","14","25"
"15106107248","41503","","","4","4","4","3","4","19","19","25"
"15106107249","41503","","","3","4","4","4","4","19","19","28"
"15106107250","41503","","","4","4","4","3","4","19","19","27"
"15106107253","41503","","","4","4","4","3","4","19","19","27"
"15106107254","41503","","","3","4","4","4","4","19","19","26"
"15106107255","41503","","","3","4","4","4","4","19","19","27"
"15106107256","41503","","","3","4","4","3","1","15","15","27"
"15106107257","41503","","","4","4","3","2","1","14","14","27"
"15106107259","41503","","","3","4","3","3","2","15","15","25"
"15106107260","41503","","","3","3","3","2","3","14","14","26"
"15106107262","41503","","","4","3","3","3","3","16","16","27"
"15106107263","41503","","","4","1","3","3","3","14","14","24"
"15106107264","41503","","","3","4","4","4","4","19","19","25"
"15106107265","41503","","","2","4","3","3","4","16","16","24"
"15106107266","41503","","","4","4","4","4","3","19","19","28"
"15106107267","41503","","","4","4","4","2","4","18","18","26"
