"15106107251","221201P","5","4","9","28"
"16106107001","221201P","5","4","9","28"
"16106107002","221201P","5","4","8","27"
"16106107003","221201P","5","4","9","28"
"16106107004","221201P","5","4","8","27"
"16106107005","221201P","5","4","9","28"
"16106107006","221201P","5","4","9","28"
"16106107007","221201P","5","4","9","28"
"16106107008","221201P","5","4","9","28"
"16106107009","221201P","4","4","8","25"
"16106107010","221201P","5","4","8","25"
"16106107011","221201P","5","4","9","28"
"16106107012","221201P","5","4","9","28"
"16106107013","221201P","5","4","9","28"
"16106107014","221201P","5","4","8","27"
"16106107015","221201P","5","5","8","28"
"16106107016","221201P","4","4","8","25"
"16106107017","221201P","4","4","8","25"
"16106107018","221201P","5","4","9","28"
"16106107019","221201P","4","4","8","25"
"16106107020","221201P","5","4","9","28"
"16106107021","221201P","4","4","8","25"
"16106107022","221201P","5","4","8","27"
"16106107023","221201P","5","4","8","27"
"16106107024","221201P","5","4","8","27"
"16106107025","221201P","5","4","8","28"
"16106107026","221201P","5","4","8","27"
"16106107027","221201P","5","4","8","27"
"16106107028","221201P","5","4","9","28"
"16106107029","221201P","4","4","8","25"
"16106107030","221201P","5","4","9","28"
"16106107031","221201P","5","4","9","28"
"16106107032","221201P","5","4","9","28"
"16106107033","221201P","4","4","8","25"
"16106107034","221201P","5","4","8","27"
"16106107035","221201P","4","4","8","25"
"16106107036","221201P","5","4","9","28"
"16106107037","221201P","5","4","8","27"
"16106107038","221201P","5","4","9","28"
"16106107039","221201P","5","4","8","27"
