"13106107208","11101","","","","50"
"13106107211","11101","","","","21"
"13106107236","11101","","","","26"
"13106107238","11101","","","","21"
"14106107182","11101","4","4","19","45"
"14106107183","11101","4","4","19","48"
"14106107184","11101","3","AB","12","28"
"14106107185","11101","4","AB","18","21"
"14106107186","11101","4","4","19","61"
"14106107187","11101","4","4","19","54"
"14106107188","11101","4","4","19","58"
"14106107189","11101","4","4","17","46"
"14106107192","11101","3","5","17","39"
"14106107197","11101","4","4","17","43"
"14106107198","11101","3","4","18","52"
"14106107201","11101","4","4","17","42"
"14106107202","11101","3","4","16","44"
"14106107203","11101","4","4","17","27"
"14106107204","11101","4","4","18","33"
"14106107205","11101","4","4","17","43"
"14106107206","11101","3","3","18","25"
"14106107207","11101","4","4","17","25"
"14106107209","11101","4","4","17","25"
"14106107211","11101","4","4","19","26"
"14106107263","11101","3","3","19","25"
"14106107264","11101","3","4","16","26"
"14106107265","11101","AB","AB","13","43"
"14106107266","11101","3","4","19","53"
"14106107267","11101","3","AB","17","25"
"14106107268","11101","3","AB","17","44"
"14106107269","11101","AB","AB","13","41"
"14106107270","11101","AB","4","15","44"
