"14106107182","21202","5","4","17","41"
"14106107183","21202","4","4","17","40"
"14106107184","21202","4","AB","18","42"
"14106107185","21202","5","5","20","42"
"14106107186","21202","5","5","18","52"
"14106107187","21202","5","5","20","46"
"14106107188","21202","5","4","17","40"
"14106107189","21202","5","4","20","55"
"14106107192","21202","5","4","16","37"
"14106107197","21202","5","3","18","38"
"14106107198","21202","5","4","17","61"
"14106107201","21202","5","4","17","40"
"14106107202","21202","5","4","20","38"
"14106107203","21202","5","5","19","50"
"14106107204","21202","5","5","16","41"
"14106107205","21202","5","5","17","48"
"14106107206","21202","4","4","20","32"
"14106107207","21202","5","4","18","27"
"14106107209","21202","5","5","18","39"
"14106107211","21202","5","5","18","28"
"14106107263","21202","5","4","18","35"
"14106107264","21202","5","4","18","37"
"14106107265","21202","3","AB","18","37"
"14106107266","21202","5","5","9","54"
"14106107267","21202","5","5","19","41"
"14106107268","21202","AB","AB","AB","33"
"14106107269","21202","4","AB","14","29"
"14106107270","21202","5","5","16","36"
