"14106107191","011101P","4","4","7","28"
"15106107227","011101P","4","4","7","27"
"15106107228","011101P","5","5","7","27"
"15106107229","011101P","5","5","8","27"
"15106107230","011101P","4","5","8","28"
"15106107231","011101P","4","4","8","28"
"15106107232","011101P","4","4","7","27"
"15106107233","011101P","5","5","8","27"
"15106107234","011101P","5","5","8","28"
"15106107235","011101P","4","4","8","27"
"15106107236","011101P","4","4","7","27"
"15106107237","011101P","5","4","7","28"
"15106107238","011101P","4","4","7","28"
"15106107239","011101P","4","4","7","28"
"15106107240","011101P","4","4","7","28"
"15106107241","011101P","5","4","8","27"
"15106107242","011101P","4","4","7","28"
"15106107243","011101P","4","4","7","28"
"15106107244","011101P","4","4","7","28"
"15106107245","011101P","4","4","8","28"
"15106107246","011101P","4","5","8","28"
"15106107247","011101P","5","4","7","28"
"15106107248","011101P","5","5","8","28"
"15106107249","011101P","4","5","8","28"
"15106107250","011101P","5","4","8","28"
"15106107251","011101P","AB","AB","AB","AB"
"15106107253","011101P","4","5","7","28"
"15106107254","011101P","4","4","7","27"
"15106107255","011101P","4","4","7","27"
"15106107256","011101P","4","4","7","26"
"15106107257","011101P","4","4","7","26"
"15106107258","011101P","5","5","7","28"
"15106107259","011101P","5","5","7","27"
"15106107260","011101P","4","4","7","28"
"15106107262","011101P","4","4","7","28"
"15106107263","011101P","4","5","7","27"
"15106107264","011101P","4","5","8","27"
"15106107265","011101P","4","4","7","27"
"15106107266","011101P","5","4","8","28"
"15106107267","011101P","5","4","7","28"
